time_code,year,month,day,week
20150410,2015,4,10,15
20150411,2015,4,11,15
20150412,2015,4,12,15
20150413,2015,4,13,16
20150414,2015,4,14,16
20150415,2015,4,15,16
20150416,2015,4,16,16
20150417,2015,4,17,16
20150418,2015,4,18,16
20150419,2015,4,19,16
20150420,2015,4,20,17
20150421,2015,4,21,17
20150422,2015,4,22,17
20150423,2015,4,23,17
20150424,2015,4,24,17
20150425,2015,4,25,17
20150426,2015,4,26,17
20150427,2015,4,27,18
20150428,2015,4,28,18
20150429,2015,4,29,18
20150430,2015,4,30,18
20150501,2015,5,1,18
20150502,2015,5,2,18
20150503,2015,5,3,18
20150504,2015,5,4,19
20150505,2015,5,5,19
20150506,2015,5,6,19
20150507,2015,5,7,19
20150508,2015,5,8,19
20150509,2015,5,9,19
20150510,2015,5,10,19
20150511,2015,5,11,20
20150512,2015,5,12,20
20150513,2015,5,13,20
20150514,2015,5,14,20
20150515,2015,5,15,20
20150516,2015,5,16,20
20150517,2015,5,17,20
20150518,2015,5,18,21
20150519,2015,5,19,21
20150520,2015,5,20,21
20150521,2015,5,21,21
20150522,2015,5,22,21
20150523,2015,5,23,21
20150524,2015,5,24,21
20150525,2015,5,25,22
20150526,2015,5,26,22
20150527,2015,5,27,22
20150528,2015,5,28,22
20150529,2015,5,29,22
20150530,2015,5,30,22
20150531,2015,5,31,22
20150601,2015,6,1,23
20150602,2015,6,2,23
20150603,2015,6,3,23
20150604,2015,6,4,23
20150605,2015,6,5,23
20150606,2015,6,6,23
20150607,2015,6,7,23
20150608,2015,6,8,24
20150609,2015,6,9,24
20150610,2015,6,10,24
20150611,2015,6,11,24
20150612,2015,6,12,24
20150613,2015,6,13,24
20150614,2015,6,14,24
20150615,2015,6,15,25
20150616,2015,6,16,25
20150617,2015,6,17,25
20150618,2015,6,18,25
20150619,2015,6,19,25
20150620,2015,6,20,25
20150621,2015,6,21,25
20150622,2015,6,22,26
20150623,2015,6,23,26
20150624,2015,6,24,26
20150625,2015,6,25,26
20150626,2015,6,26,26
20150627,2015,6,27,26
20150628,2015,6,28,26
20150629,2015,6,29,27
20150630,2015,6,30,27
20150701,2015,7,1,27
20150702,2015,7,2,27
20150703,2015,7,3,27
20150704,2015,7,4,27
20150705,2015,7,5,27
20150706,2015,7,6,28
20150707,2015,7,7,28
20150708,2015,7,8,28
20150709,2015,7,9,28
20150710,2015,7,10,28
20150711,2015,7,11,28
20150712,2015,7,12,28
20150713,2015,7,13,29
20150714,2015,7,14,29
20150715,2015,7,15,29
20150716,2015,7,16,29
20150717,2015,7,17,29
20150718,2015,7,18,29
20150719,2015,7,19,29
20150720,2015,7,20,30
20150721,2015,7,21,30
20150722,2015,7,22,30
20150723,2015,7,23,30
20150724,2015,7,24,30
20150725,2015,7,25,30
20150726,2015,7,26,30
20150727,2015,7,27,31
20150728,2015,7,28,31
20150729,2015,7,29,31
20150730,2015,7,30,31
20150731,2015,7,31,31
20150801,2015,8,1,31
20150802,2015,8,2,31
20150803,2015,8,3,32
20150804,2015,8,4,32
20150805,2015,8,5,32
20150806,2015,8,6,32
20150807,2015,8,7,32
20150808,2015,8,8,32
20150809,2015,8,9,32
20150810,2015,8,10,33
20150811,2015,8,11,33
20150812,2015,8,12,33
20150813,2015,8,13,33
20150814,2015,8,14,33
20150815,2015,8,15,33
20150816,2015,8,16,33
20150817,2015,8,17,34
20150818,2015,8,18,34
20150819,2015,8,19,34
20150820,2015,8,20,34
20150821,2015,8,21,34
20150822,2015,8,22,34
20150823,2015,8,23,34
20150824,2015,8,24,35
20150825,2015,8,25,35
20150826,2015,8,26,35
20150827,2015,8,27,35
20150828,2015,8,28,35
20150829,2015,8,29,35
20150830,2015,8,30,35
20150831,2015,8,31,36
20150901,2015,9,1,36
20150902,2015,9,2,36
20150903,2015,9,3,36
20150904,2015,9,4,36
20150905,2015,9,5,36
20150906,2015,9,6,36
20150907,2015,9,7,37
20150908,2015,9,8,37
20150909,2015,9,9,37
20150910,2015,9,10,37
20150911,2015,9,11,37
20150912,2015,9,12,37
20150913,2015,9,13,37
20150914,2015,9,14,38
20150915,2015,9,15,38
20150916,2015,9,16,38
20150917,2015,9,17,38
20150918,2015,9,18,38
20150919,2015,9,19,38
20150920,2015,9,20,38
